,stamp,walk,mu_x,mu_y,mu_z,mu_rms,sigma_x,sigma_y,sigma_z,sigma_rms,speed
7976,1525941627.01,145-2,-234.4,-0.26,237.79,194.0879779773415,37.21236353686768,22.297811551809293,25.055656048086234,18.136706922711436,0.7269726844
7977,1525941405.01,145-2,-272.6,-23.48,193.81,194.10252823507565,20.235612172603034,13.86757368828448,14.246188964070354,8.200723509848936,0.726991981
7978,1526565696.01,298-1,-256.61,-31.51,225.81,200.34494072931838,57.003139387230235,31.209131676482123,44.54563839479685,34.761684714149055,0.7270097722
7979,1526567066.01,298-2,-216.18,27.19,255.84,194.9511727992896,25.45952866806454,18.667991322046408,26.985818497870337,14.539952688421476,0.7270222106
7980,1527698245.01,915-1,-328.83,14.42,62.19,195.1704758591454,45.31601372583427,30.729523263467666,29.72867134602554,24.575028373969822,0.7270282662
7981,1525943751.01,314-2,-324.18,30.09,83.43,197.7951542302655,58.84681469714398,44.04181989881889,53.165826430142126,35.67964353837459,0.7270349596
7982,1525278473.01,733-2,-281.2,67.72,181.29,199.4991587384884,27.38320653247168,38.607273926036285,38.896862341325175,17.118089728961596,0.7270481654
7983,1530257095.01,481-2,-327.23,-32.62,-50.82,193.35800862033184,33.27457137214543,19.17121801034039,34.85925415151621,20.446283339024532,0.7270684543
7984,1525946611.01,390-2,-335.61,-18.19,44.81,196.4474843447502,26.59131249111258,15.126595783585945,22.626840256650947,14.673419095510372,0.7272016089
7985,1527700342.01,52-1,-325.99,-31.89,90.4,199.7437505929173,47.31268223214576,52.694571826707154,47.95873226014215,32.04768476933229,0.7272096987
7986,1527698729.01,915-1,-330.94,15.03,96.61,201.45461892572817,43.03087728596756,34.798693941008764,33.169532706988804,22.298053281761916,0.7272291981
7987,1526487704.01,161-2,-334.96,-59.03,-26.16,199.8698893441555,45.87808191282632,39.784784780114116,43.70279624921044,26.58779168882529,0.7272332816
7988,1527698719.01,915-1,-335.02,28.5,95.49,203.59333751524773,52.61387269532627,28.46770099604111,31.080699799071454,28.064739194745002,0.7272546708
7989,1525942992.01,314-1,-303.77,39.41,154.01,199.71210358421536,41.7628674781797,31.88827213882872,38.75474035521332,26.81167062992553,0.727264826
7990,1528363805.01,806-2,-322.1,46.64,2.17,191.8235603625313,57.52625487549143,48.985614214787596,53.93830827899592,37.22801395690671,0.7272668402
7991,1527095491.01,491-2,-321.13,6.95,87.85,195.04639260643788,54.00086203015652,34.862121277971596,41.00277429638145,29.29052289077966,0.7273178222
7992,1527701173.01,52-2,-326.66,13.62,101.51,200.41011524983838,61.64044451494488,34.25924108908427,45.884527893397795,35.50834229041327,0.7273966874
7993,1527761878.01,317-1,-287.8,-74.18,143.88,192.72899044268263,56.194127807093885,45.33660331343761,31.92813179627019,35.740587240246604,0.7275175289
7994,1530256482.01,481-1,-304.99,2.2,136.09,223.99549858405314,101.96268876407684,127.57907351913167,171.0702835094395,75.18893943979684,0.72752002
7995,1525941526.01,145-2,-226.43,8.16,268.27,208.436113341702,45.98679266920015,63.46049479794496,100.95482702674498,55.686563205784246,0.7275230931
7996,1526565560.01,298-1,-264.88,-3.19,202.13,192.99696722879537,23.73363857481612,22.041640138610372,16.499487870840117,14.212575669241478,0.7275488441
7997,1531322305.01,181-2,-334.1,-49.92,32.5,197.25474695371432,43.139888734209784,23.052843642379564,32.00765533431026,24.898021425262076,0.72759724
7998,1530257086.01,481-2,-330.91,-32.93,-48.07,194.10819483181433,13.492290391182665,10.109653802183338,6.198798270632777,7.8578219502031965,0.7276156721
7999,1530262122.01,527-2,-334.92,7.63,78.63,200.73083710891038,34.474535529866095,31.992078707079987,43.106068018319654,23.121513075259525,0.7276180165
